PlayID,GameID,DriveID,Sequence,TeamID,ClubCode,Quarter,StartTime,Down,Distance,Yardline,Situation,PlayType,StartHomeScore,StartAwayScore,IsScoringPlay,EndTime,EndHomeScore,EndAwayScore,ScoringPlayDescription,PlayDescription,ShortPlayDescription,FirstDownDescription,DriveTotalPossessionTime,DriveNetYards,DrivePlays,playScoreType,playScorer,playScoringTeamId,firstDownReset,Notes
8766,3,3738,1,605,NY,1,15:00,1,0,TB 30,NA,Kick off,0,0,FALSE,14:52,0,0,,"A.Franks kickoff from TB 30, 59 yds to NY 11. A.Duke to TB 48 for 59 yards (E.Beal)",Kickoff,,5:08,48,8,,,0,FALSE,
8773,3,3738,2,605,NY,1,14:52,1,10,TB 48,1st & 10 TB 48,Pass,0,0,FALSE,14:16,0,0,,(Shotgun) M.McGloin pass short right to J.Powell to TB 42 for 6 yards (M.Hannemann),6 yard pass,,5:08,48,8,,,0,FALSE,
8780,3,3738,3,605,NY,1,14:16,2,4,TB 42,2nd & 4 TB 42,Pass,0,0,FALSE,13:35,0,0,,(Shotgun) M.McGloin pass short right to T.Cook to TB 42 for 0 yards (R.Priester),0 yard pass,,5:08,48,8,,,0,FALSE,
8787,3,3738,4,605,NY,1,13:35,3,4,TB 42,3rd & 4 TB 42,Rush,0,0,FALSE,12:49,0,0,,T.Cook rush up the middle to TB 42 for 0 yards (R.Walker; B.Richardson),0 yard rush,,5:08,48,8,,,0,FALSE,
8795,3,3738,5,605,NY,1,12:49,4,4,TB 42,4th & 4 TB 42,Pass,0,0,FALSE,12:03,0,0,,(Shotgun) M.McGloin pass short middle to J.Powell to TB 27 for 15 yards (M.Branch),15 yard pass,P1,5:08,48,8,,,0,FALSE,
8802,3,3738,6,605,NY,1,12:03,1,10,TB 27,1st & 10 TB 27,Rush,0,0,FALSE,11:20,0,0,,(Shotgun) D.Victor rush left guard to TB 24 for 3 yards (B.Richardson; R.Walker),3 yard rush,,5:08,48,8,,,0,TRUE,
8808,3,3738,7,605,NY,1,11:20,2,7,TB 24,2nd & 7 TB 24,Pass,0,0,FALSE,10:52,0,0,,(Shotgun) M.McGloin pass incomplete deep middle to J.Horn.,Incomplete pass,,5:08,48,8,,,0,FALSE,
8819,3,3738,8,605,NY,1,10:52,3,7,TB 24,3rd & 7 TB 24,Pass,0,0,FALSE,10:01,0,0,,(Shotgun) M.McGloin pass deep right to J.Horn out of bounds at TB 6 for 18 yards (R.Priester),18 yard pass,,5:08,48,8,,,0,FALSE,
8820,3,3738,9,605,NY,1,10:24,1,6,TB 6,NA,Penalty,0,0,FALSE,10:01,0,0,,"PENALTY on NY. Too many men illegal sub, 5 yards, enforced to TB 11.",5 yard penalty,,5:08,48,8,,,0,FALSE,Penalty
8835,3,3738,10,605,NY,1,10:01,1,11,TB 11,1st & 11 TB 11,Pass,0,0,FALSE,9:55,0,0,,(Shotgun) M.McGloin pass incomplete short middle to J.Horn (M.Hannemann).,10 yard penalty,X2,5:08,48,8,,,0,FALSE,
8837,3,3738,11,605,NY,1,9:55,1,1,TB 1,1st & 1 TB 01,Rush,0,0,TRUE,9:52,6,0,M.McGloin 1 yd. run,"M.McGloin rush up the middle for 1 yards, TOUCHDOWN.",1 yard rush,R3,5:08,48,8,Touchdown,Matt McGloin,605,TRUE,
8843,3,3738,12,605,NY,1,9:52,1,0,TB 2,NA,Rush,6,0,TRUE,9:52,7,0,,1pt attempt successful. T.Cook rush.,Successful conversion,,5:08,48,8,One Point Successful Conversion,Tim Cook,605,FALSE,
8850,3,3772,13,607,TB,1,9:52,1,0,NY 30,NA,Kick off,7,0,FALSE,9:45,7,0,,"M.McCrane kickoff from NY 30, 63 yds to TB 7. M.Brown to TB 37 for 63 yards (D.Askew-Henry)",Kickoff,,4:51,57,9,,,0,FALSE,
8899,3,3772,14,607,TB,1,9:45,1,10,TB 37,1st & 10 TB 37,Rush,7,0,FALSE,9:10,7,0,,"D.Smith rush left guard to TB 37 for 0 yards (T.Barnes, D.Hines)",0 yard rush,,4:51,57,9,,,0,FALSE,
8864,3,3772,15,607,TB,1,9:10,2,10,TB 37,2nd & 10 TB 37,Pass,7,0,FALSE,8:55,7,0,,"(No Huddle, Shotgun) A.Murray pass short left to N.Truesdell out of bounds at TB 46 for 9 yards (B.Jones)",9 yard pass,,4:51,57,9,,,0,FALSE,
