PlayID,GameID,DriveID,Sequence,TeamID,ClubCode,Quarter,StartTime,Down,Distance,Yardline,Situation,PlayType,StartHomeScore,StartAwayScore,IsScoringPlay,EndTime,EndHomeScore,EndAwayScore,ScoringPlayDescription,PlayDescription,ShortPlayDescription,FirstDownDescription,DriveTotalPossessionTime,DriveNetYards,DrivePlays,playScoreType,playScorer,playScoringTeamId,firstDownReset,Notes
21243,11,8423,1,606,STL,1,15:00,1,0,NY 30,NA,Kick off,0,0,FALSE,14:55,0,0,,"M.McCrane kickoff from NY 30, 62 yds to STL 8. K.Mumphery to STL 28 for 20 yards (D.Hines; A.Soroh).",Kickoff,,1:49,72,4,,,0,FALSE,
21250,11,8423,2,606,STL,1,14:55,1,10,STL 28,1st & 10 STL 28,Rush,0,0,FALSE,14:22,0,0,,(Shotgun) M.Jones rush left tackle to STL 34 for 6 yards (D.Hines).,6 yard rush,,1:49,72,4,,,0,FALSE,
21256,11,8423,3,606,STL,1,14:22,2,4,STL 34,2nd & 4 STL 34,Rush,0,0,FALSE,13:45,0,0,,(Shotgun) M.Jones rush right guard to STL 39 for 5 yards (C.Walker).,5 yard rush,R1,1:49,72,4,,,0,FALSE,
21268,11,8423,4,606,STL,1,13:45,1,10,STL 39,1st & 10 STL 39,Rush,0,0,FALSE,13:17,0,0,,(Shotgun) M.Jones rush right tackle out of bounds at NY 14 for 47 yards (A.Soroh),47 yard rush,R2,1:49,72,4,,,0,TRUE,
21270,11,8423,5,606,STL,1,13:17,1,10,NY 14,1st & 10 NY 14,Rush,0,0,TRUE,13:11,6,0,C.Michael 14 yd. run,"(Shotgun) C.Michael rush up the middle for 14 yards, TOUCHDOWN.",14 yard rush,R3,1:49,72,4,Touchdown,Christine Michael,606,TRUE,
21277,11,8423,6,606,STL,1,13:11,1,0,NY 5,NA,Pass,6,0,FALSE,13:11,6,0,,2pt attempt unsuccessful.,Unsuccessful conversion,,1:49,72,4,,,0,FALSE,
21356,11,8457,7,605,NY,1,13:11,1,0,STL 30,NA,Kick off,6,0,FALSE,13:04,6,0,,"T.Russolino kickoff from STL 30, 55 yds to NY 15. J.Stockton to NY 28. FUMBLES (C.Agudosi). Recovered by J.Sutherland at NY 27. J.Sutherland to NY 27 for no gain.",Kickoff,,5:15,24,8,,,0,FALSE,
21357,11,8457,8,605,NY,1,13:04,1,10,NY 27,1st & 10 NY 27,Rush,6,0,FALSE,12:33,6,0,,(Shotgun) T.Cook rush right tackle to NY 26 for -1 yards (D.McCoil; D.Lambert).,-1 yard rush,,5:15,24,8,,,0,FALSE,
21305,11,8457,9,605,NY,1,12:33,2,11,NY 26,2nd & 11 NY 26,Pass,6,0,FALSE,12:02,6,0,,M.McGloin pass short left to C.Pearson to NY 38 for 12 yards (D.Hillary).,12 yard pass,P1,5:15,24,8,,,0,FALSE,
21314,11,8457,10,605,NY,1,12:02,1,10,NY 38,1st & 10 NY 38,Rush,6,0,FALSE,11:30,6,0,,(Shotgun) T.Cook rush left guard to NY 42 for 4 yards (D.McCoil; T.Garvin).,4 yard rush,,5:15,24,8,,,0,TRUE,
21316,11,8457,11,605,NY,1,11:30,2,6,NY 42,NA,Penalty,6,0,FALSE,11:15,6,0,,"PENALTY on NY. False start, 5 yards, enforced to NY 37.",5 yard penalty,,5:15,24,8,,,0,FALSE,Penalty
21329,11,8457,12,605,NY,1,11:15,2,11,NY 37,2nd & 11 NY 37,Pass,6,0,FALSE,10:36,6,0,,(Shotgun) M.McGloin pass short right to J.Stockton to NY 42 for 5 yards (K.Robinson; D.Hillary).,5 yard pass,,5:15,24,8,,,0,FALSE,
21331,11,8457,13,605,NY,1,10:36,3,6,NY 42,3rd & 6 NY 42,Pass,6,0,FALSE,9:54,6,0,,(Shotgun) M.McGloin pass short middle to J.Powell to STL 44 for 14 yards (W.Hill).,14 yard pass,P2,5:15,24,8,,,0,FALSE,
21337,11,8457,14,605,NY,1,9:54,1,10,STL 44,1st & 10 STL 44,Rush,6,0,FALSE,9:23,6,0,,T.Cook rush up the middle to STL 38 for 6 yards (C.Ward).,6 yard rush,,5:15,24,8,,,0,TRUE,
21347,11,8457,15,605,NY,1,9:23,2,4,STL 38,2nd & 4 STL 38,Rush,6,0,FALSE,8:41,6,0,,T.Cook rush up the middle to STL 38 for no gain (D.Lambert).,0 yard rush,,5:15,24,8,,,0,FALSE,
21349,11,8457,16,605,NY,1,8:41,3,4,STL 38,3rd & 4 STL 38,Pass,6,0,FALSE,8:03,6,0,,(Shotgun) M.McGloin sacked at STL 49 for -11 yards (C.Sayles).,-11 yard sack,,5:15,24,8,,,0,FALSE,
21359,11,8457,17,605,NY,1,8:03,4,15,STL 49,4th & 15 STL 49,Punt,6,0,FALSE,7:56,6,0,,(Punt) J.Vogel punts for 36 yards to STL 13. Fair Catch by D.Pierson-El.,36 yard punt,,5:15,24,8,,,0,FALSE,
21365,11,8515,18,606,STL,1,7:56,1,10,STL 13,1st & 10 STL 13,Rush,6,0,FALSE,7:35,6,0,,(Shotgun) M.Jones rush up the middle to STL 20 for 7 yards (A.Hendy).,7 yard rush,,6:41,45,10,,,0,FALSE,
21371,11,8515,19,606,STL,1,7:35,2,3,STL 20,2nd & 3 STL 20,Rush,6,0,FALSE,7:01,6,0,,(Shotgun) M.Jones rush left guard to STL 26 for 6 yards (R.Texada).,6 yard rush,R4,6:41,45,10,,,0,FALSE,
21377,11,8515,20,606,STL,1,7:01,1,10,STL 26,1st & 10 STL 26,Rush,6,0,FALSE,6:23,6,0,,(Shotgun) M.Jones rush right guard to STL 26 for no gain (B.Rotimi).,0 yard rush,,6:41,45,10,,,0,TRUE,
21384,11,8515,21,606,STL,1,6:23,2,10,STL 26,2nd & 10 STL 26,Rush,6,0,FALSE,5:45,6,0,,(Shotgun) C.Michael rush right guard to STL 23 for -3 yards (B.Rotimi).,-3 yard rush,,6:41,45,10,,,0,FALSE,
